city,specialization,minimum_fee,maximum_fee,average_fee
Delhi,General Physician,300,800,550
Delhi,Cardiologist,800,2500,1600
Delhi,Neurologist,800,2500,1600
Delhi,Orthopedic,700,2000,1350
Delhi,Dermatologist,500,1800,1150
Delhi,Psychiatrist,800,2500,1600
Delhi,Pulmonologist,700,2000,1350
Delhi,ENT,500,1500,1000
Delhi,Dentist,300,1500,900
Mumbai,General Physician,400,1000,700
Mumbai,Cardiologist,1000,3000,2000
Mumbai,Neurologist,1000,3000,2000
Mumbai,Orthopedic,800,2500,1650
Mumbai,Dermatologist,600,2000,1300
Mumbai,Psychiatrist,1000,3000,2000
Mumbai,Pulmonologist,800,2500,1650
Mumbai,ENT,600,1800,1200
Mumbai,Dentist,400,2000,1200
Bangalore,General Physician,350,900,625
Bangalore,Cardiologist,900,2800,1850
Bangalore,Neurologist,900,2800,1850
Bangalore,Orthopedic,750,2200,1475
Bangalore,Dermatologist,550,1800,1175
Bangalore,Psychiatrist,900,2500,1700
Bangalore,Pulmonologist,750,2200,1475
Bangalore,ENT,550,1600,1075
Bangalore,Dentist,350,1800,1075
Hyderabad,General Physician,300,800,550
Hyderabad,Cardiologist,800,2500,1650
Hyderabad,Neurologist,800,2500,1650
Hyderabad,Orthopedic,700,2000,1350
Hyderabad,Dermatologist,500,1600,1050
Hyderabad,Psychiatrist,800,2200,1500
Hyderabad,Pulmonologist,700,2000,1350
Hyderabad,ENT,500,1500,1000
Hyderabad,Dentist,300,1500,900
Chennai,General Physician,300,750,525
Chennai,Cardiologist,800,2500,1650
Chennai,Neurologist,800,2500,1650
Chennai,Orthopedic,700,2000,1350
Chennai,Dermatologist,500,1600,1050
Chennai,Psychiatrist,800,2200,1500
Chennai,Pulmonologist,700,2000,1350
Chennai,ENT,500,1500,1000
Chennai,Dentist,300,1500,900
Pune,General Physician,300,800,550
Pune,Cardiologist,750,2200,1475
Pune,Neurologist,750,2200,1475
Pune,Orthopedic,600,1800,1200
Pune,Dermatologist,500,1500,1000
Pune,Psychiatrist,700,2000,1350
Pune,Pulmonologist,600,1800,1200
Pune,ENT,450,1400,925
Pune,Dentist,300,1500,900
Lucknow,General Physician,200,600,400
Lucknow,Cardiologist,500,1500,1000
Lucknow,Neurologist,500,1500,1000
Lucknow,Orthopedic,400,1200,800
Lucknow,Dermatologist,300,1000,650
Lucknow,Psychiatrist,500,1500,1000
Lucknow,Pulmonologist,400,1200,800
Lucknow,ENT,300,1000,650
Lucknow,Dentist,200,1000,600
Prayagraj,General Physician,150,500,325
Prayagraj,Cardiologist,400,1200,800
Prayagraj,Neurologist,400,1200,800
Prayagraj,Orthopedic,300,1000,650
Prayagraj,Dermatologist,250,800,525
Prayagraj,Psychiatrist,400,1200,800
Prayagraj,Pulmonologist,300,1000,650
Prayagraj,ENT,250,800,525
Prayagraj,Dentist,150,800,475
